,nsesymbol,Close,EPS current year growth %,EPS previous year growth %,EPS current quarter growth %,EPS previous quarter growth %,EPS previous 2 quarter growth %,EPS previous 3 quarter growth %,Volume 30d vs 200d avg,Sales current quarter growth %,Sales previous quarter growth %,Sales previous 2 quarter growth %,Sales previous 3 quarter growth %,Leader_Laggard,Current Price % of 52 Week High,Sales current year growth %,Profit Before Tax current year growth %,Profit_Before_Tax current quarter growth %,Profit_Before_Tax previous quarter growth %,Profit_Before_Tax previous 2 quarter growth %,Profit_Before_Tax previous 3 quarter growth %,Promoter(Jun 2024),Promoter( Sep 2024),Promoter( Dec 2024),Promoter( Mar 2025),FII(June 2024),FII(Sep 2024),FII(Dec 2024),FII(Mar 2025),DII(June 2024),DII(Sep 2024),DII(Dec 2024),DII(Mar 2025),company_name,industry_expansion_or_capex,management_change,new_geography_or_segment,new_product_or_service
10,ITC,416.0,76.16279069767442,8.40336134453783,289.05472636815927,11.083743842364546,12.878787878787868,0.0,1.7789842876830546,9.399432830525335,8.274291644589749,12.705276526283814,7.540043022166887,Leader,-21.29,14.45260647376021,59.38351794380328,289.6571849727103,1.187709414992999,3.072482829168499,0.3000363062287681,,,,,40.47%,40.53%,40.17%,39.87%,44.02%,44.59%,44.91%,45.19%,ITC Limited,"Hotels business fully demerged into ITC Hotels Limited (ITCHL) effective 1st January 2025, with ITCHL shares independently listed from 29th January 2025. In Q3, ITC commissioned its third Ancillary Manufacturing cum Logistics Facility (AMLF) at Panchla, with advanced automation, strengthening its supply chain and reducing operational complexities. The state-of-the-art Moulded Fibre Products manufacturing facility in Badiyakhedi (subsidiary ITC Fibre Innovations Limited) is being ramped up. The nicotine & derivatives facility (ITC IndiVision Limited) is nearing scale-up, with export shipments to commence shortly. Five new managed hotel properties (330 keys) operationalised in Q3 as part of 'asset right' strategy; significant managed hotels pipeline to further scale hotel business. The Company continues to invest in expanding distribution and digital infrastructure across FMCG.",,"Expansion of Sunrise spices into new adjacent markets: North East, Bihar, and Jharkhand. Aashirvaad and Savlon products receive stronger focus in emerging (digital, e-commerce, Quick Commerce, Modern Trade) channels. ITC Ratnadipa, a landmark new property in Colombo, Sri Lanka (via demerged Hotels Segment) opened and achieved cash breakeven in Q3 FY25. The Company is actively ramping up export-oriented segments (spices, coffee, nicotine derivatives).","Multiple significant new product launches and portfolio augmentations across FMCG segments: 1) FMCG - Branded Foods: Launch of 'Aashirvaad Soya Chunks', 'Roasted Short Vermicelli', and Aashirvaad Multigrain Atta ad campaign; 'Sunrise' introduced differentiated spice blends like Schezwan Masala, Fried Rice Masala, Peri Peri Masala, and Soya Curry Masala; 'Sunfeast Wowzers', a 14-layered cracker enrobed with cream launched; 'YiPPee! Korean Noodles' scaling up; 'Bingo!' forayed into 'Popped Chips' (3 flavours, 30% less fat), Hot & Spicy Korean Nachos; 'ITC Master Chef' launched new frozen snacks; 'Classmate' introduced eduGAMES Infinity for cognitive learning. 2) Personal care/homecare: Launch of 'Fiama Japanese Hokkaido Milk Moisturising Bars'; Savlon Powder-to-Gel Handwash won an innovation award. 3) Paperboards: Introduction of 'FiloBev Mini', an innovative plastic substitute for small cups (<90ml), aimed at replacing traditional plastic cups with a sustainable alternative."
11,LT,3658.1,16.455509723040663,21.561604584527206,29.215189873417714,12.548262548262535,-24.831518921721095,68.94117647058823,0.8085389034221139,7.0249862580890055,10.70560603931785,24.038972516901637,12.43276220974403,Leader,-7.71,12.397123131470433,19.613992634806053,29.231239503844897,12.556994260783272,-26.44590585005092,65.22015666495571,,,,,22.85%,21.72%,20.83%,19.80%,38.89%,40.44%,41.71%,42.71%,Larsen & Toubro Limited,,,,
12,HCLTECH,1728.0,5.116279069767438,1.8715944089078507,10.196078431372557,5.173807599029923,8.40182648401826,-4.692387904066731,0.8446688029628012,11.21967376003974,5.929295347538099,4.610664234181949,2.908042965679858,Leader,-14.12,6.2297331005238155,6.586438923395455,10.206297502714445,5.285159749178869,8.428860418071471,-4.506933744221875,60.82%,60.82%,60.82%,60.82%,18.45%,18.67%,19.38%,19.15%,15.77%,15.78%,15.21%,15.44%,HCL Technologies Ltd.,"HCLTech announced new advanced R&D centre for ChargePoint (EV charging) in Bangalore. Substantial investment and scaling in AI/GenAI through new labs and integration partnerships (with NVIDIA, Google, Microsoft, Salesforce, SAP, and AWS). Acquisition of CTG (impacting Telecom/ERS verticals), and active inorganic and organic investments to diversify and expand the AI/agentic platform offerings. Several large and mega deal wins in AI, engineering, public sector, and digital transformations indicate deeper sector participation and capex-linked expansions.",,"Establishment of HCLTech Public Sector Solutions, a subsidiary specifically focused on servicing the public sector in the United States, including state, local, federal, civilian, and defense agencies. Accelerated expansion of Software business into India, Middle East, and emerging markets.","Launch of Assure AI (LLM application testing suite), 3D IIP (3D Industrial Inspection Platform), UNO (agentic AI orchestrator) targeting next-gen process optimization, and multiple agentic AI solutions (like HCLTech Insight, Netsight, Vision-based inspection, GenAI applications). Also, continued rollout of flagship AI offerings (AI Force, AI Foundry, AI Labs, AI Engineering) with over 500 AI engagements delivered for clients."
13,KOTAKBANK,2161.7,60.98654708520181,26.011666059059422,-13.300970873786422,9.92063492063493,4.732254047322559,80.89758342922902,0.9292357263330735,9.935029162123211,13.8025022417116,18.078001720744453,21.391523809523804,Laggard,-6.09,43.385508519744235,60.927426943144965,-14.07011346865702,9.976339513013265,4.786945662290787,81.03351388929119,25.89%,25.88%,25.88%,25.88%,33.16%,33.39%,32.48%,32.65%,27.69%,27.88%,28.79%,29.13%,Kotak Mahindra Bank Ltd.,,,,
14,SUNPHARMA,1684.6,49.874055415617136,68.93617021276597,130.55555555555557,63.33333333333335,-2.7027027027027084,-37.5,1.189114145408634,28.357464976458346,22.058421668712768,2.0744928818178687,0.6022804528053927,Laggard,-14.07,14.472115989917821,45.84088240836026,130.57399723374826,63.73681218893403,-2.8515805228272795,-37.52101723413199,54.48%,54.48%,54.48%,54.48%,17.23%,18.01%,18.04%,17.96%,19.17%,18.48%,18.43%,18.58%,Sun Pharmaceutical Industries Limited,Acquisition of Checkpoint Therapeutics marks a significant expansion in the specialty oncology and immunotherapy segment; $100 million additional investment in commercialization infrastructure for new specialty product launches is planned to further strengthen the specialty portfolio.,"Ms. Jayashree Satagopan appointed as Global Chief Financial Officer effective 1st July 2025, succeeding Mr. C. S. Muralidharan who will be superannuating.",Targeting commercial launch of semaglutide (diabetes/weight management) in focus emerging markets; focus on leveraging Checkpoint Therapeutics' oncology product in the US market.,"Planned launch of Leqselvi in the US in Q2 FY26; Sun Pharma to acquire Checkpoint Therapeutics and its newly USFDA-approved immunotherapy product UNLOXCYT (for cutaneous squamous cell carcinoma); Ongoing development and trial plans for new specialty and diabetes/weight management products, SCD-044 for atopic dermatitis and psoriasis (pending topline data and possible Phase 3), and advancing MM-II Phase 2 with plans for out-licensing/partnering commercialization."
15,M&M,3179.5,6.668904554100918,63.50164654226127,19.41176470588235,18.921521425132394,11.145833333333321,-5.917926565874721,0.8027550074756629,24.503133485447638,20.310343034360166,12.947313750190093,12.02128333911281,Leader,-2.8,15.40175572623792,16.07234904475794,21.8527351542696,19.061504661148,13.198116154739381,-5.319939262818762,18.55%,18.53%,18.48%,18.45%,41.90%,41.18%,38.92%,38.30%,26.18%,27.04%,29.22%,29.77%,Mahindra & Mahindra Limited,"Significant capital expenditure committed to electric vehicle platform (MEAL entity); ramp-up of EV manufacturing operations beginning in Q4 FY25. Announced clear separation and reporting of electric vehicle contract manufacturing and margins. Major land acquisition in Bhandup (37 acres, 12,000 crore GDV) signaling aggressive real estate expansion; discussion of upcoming global lifestyle pickup for international ICE markets. Also mentioned strategic review and possible restructuring of international farm business operations, pending in Q4.",,"Strong focus on export expansion: 3XO demand surging in South Africa (~700/month), prioritizing international ramp-up in Australia, New Zealand, Chile, and India’s adjacent (right-hand drive) markets first for EVs. Also, significant attention to premium/luxury urban customer segment in India, which traditionally has not bought Mahindra vehicles.","Launched two new electric SUVs (BE and XUV.e9), targeting the premium/luxury segment with booking opening on 14th February 2025. Positioned as high-tech, design-driven lifestyle SUVs with strong emphasis on technology, range and features. Also, new models such as the Roxx (winner of Indian Car of the Year) and recent 3XO launch. Expansion in farm machinery (OJA and Swaraj Target platforms) and focus on strengthening tractor product offerings."
16,MARUTI,12400.0,5.643222658574332,57.637038982478515,-4.2970650235122365,10.029440628066721,-20.653499146549613,41.10854503464205,0.7227130902139431,5.862252197016149,15.511613308223481,0.15196242588313424,9.82357060417829,Laggard,-9.36,7.444359171143522,12.573648505903613,-4.2988292330703,12.619808306709256,-17.416924525763488,46.87135326546217,58.19%,58.19%,58.28%,58.28%,18.98%,17.68%,15.47%,14.96%,19.37%,20.75%,22.89%,23.56%,Maruti Suzuki India Limited,,,,
17,AXISBANK,1202.9,5.710738671632543,158.75361387728879,-0.5192557334487313,3.453529710512959,17.551234892275346,3.770578863515661,0.708510417094801,6.905053082101542,10.703426255152682,14.247931922641556,17.62335381192537,Laggard,-10.21,12.168361256788153,3.8927334070174124,-0.17069513736259756,3.8324191662137075,17.975598441902175,4.097566024391508,8.31%,8.29%,8.23%,8.18%,53.43%,51.78%,47.32%,43.94%,31.63%,33.21%,37.48%,40.87%,Axis Bank Limited,,,,
18,ULTRACEMCO,12045.0,-12.137302450037623,39.44729477611939,16.68799590478629,-24.44630872483221,-34.710743801652896,-0.3363040188330224,0.9111400495756377,6.7089570739238935,4.832969509451357,-3.6880354665517423,1.7875067853732052,Leader,-2.38,4.654493876631283,-17.378525930712595,19.103443682142164,-22.9084198761235,-34.71753448897337,-0.35580961269249256,59.98%,59.99%,60.00%,59.23%,18.15%,17.95%,16.98%,15.17%,13.83%,14.08%,15.15%,16.79%,UltraTech Cement Limited,"Major capital expenditure is ongoing: about INR 9,000-10,000 crores for FY '26, with INR 7,000 crores toward strategic investments and expansion. UltraTech completed two significant acquisitions (Kesoram and India Cements) that added 42.6 million tons of capacity. There is also a capex plan of INR 1,500 crores for India Cements (including WHRS, efficiency improvement), brownfield expansion opportunities identified in India Cements, and completion of mines transfer in Telangana and Karnataka. Additionally, UltraTech is expanding its building products/construction chemicals business, aiming to triple segment revenues within three years.",,"UltraTech is ramping up its presence in the Northeast, both through supply from existing plants and by maintaining a stake in Star Cement, while continuing to explore options for greenfield expansion if the right resources and infrastructure become available.",
19,NTPC,333.9,8.690987124463522,5.132543711223914,4.013961605584626,3.1847133757961776,19.45137157107233,10.978520286396186,1.189648756942065,3.209671470258235,4.8500479530242835,-1.3400751358032204,13.53953313012417,Laggard,-25.54,4.970811191626789,9.19624529263654,3.990151950083054,3.051459893130004,19.661725452444134,10.94283381373522,51.10%,51.10%,51.10%,51.10%,17.68%,18.60%,18.20%,17.79%,27.55%,26.51%,26.76%,27.22%,NTPC Limited,,,,
20,HAL,4849.0,9.500748437087259,30.70548969962019,-7.775007790588983,14.300960512273232,20.6280454791554,-11.827515400410682,0.9739992766078586,-7.237632356904222,14.783588603031571,6.045980968130582,11.039398877236707,Laggard,-14.55,-4.2014265425221575,6.089144295943627,-7.776954548419868,14.28708187409753,20.6476159637335,76.32125179626374,71.64%,71.64%,71.64%,71.64%,11.68%,11.85%,12.26%,12.08%,8.81%,8.37%,8.13%,8.26%,Hindustan Aeronautics Limited,"Formulated a major new 5-year CAPEX plan of Rs. 14,000-15,000 crore to expand manufacturing and set up ROH (Repair and Overhaul) facilities. Investing significantly in new manufacturing lines for helicopters, fighters, trainers, and aero engines, with specific facilities for LCA Mark-2, GE-414 engines, IMRH (Indian Multi Role Helicopter) engines, and support for AMCA and related projects. Tumkuru factory investment increasing helicopter capacity significantly to 30 per year; substantial integration and indigenization partnerships, such as with PTC Industries and MIDHANI.","D.K. Sunil took over as Chairman and Managing Director (CMD), marking his first earnings call in this role.","Initiated MoU and facility with Airbus for civil aviation C checks for A320 aircraft at Nashik, which is progressing through certification with DGCA and EASA. Some commercial work already begun with Indigo; early entry into civil MRO segment.",Received certification for the upgraded version of Dhruv Civil Advanced Light Helicopter; First AL-31FP engine delivered under a new contract for Sukhoi-30; Mistral missile successfully integrated and fired from LCH Prachand; Received Restricted Military Type Certification (RMTC) for HTT-40 basic trainer aircraft; Active development of CATS Warrior Unmanned Combat Air Vehicle (UCAV) targeting the higher-end drones market.
